source,target,ROC_AUC_mean,ROC_AUC_median,SD
Explicit_Other,Explicit_Self,0.48959867804503965,0.4885783440302019,0.035606161279085176
Explicit_Other,No_Ref,0.4918118046789524,0.49494311460568424,0.033401095382010006
Explicit_Other,Implicit_Self,0.4925833358630916,0.49396870405613225,0.02738644567565366
Explicit_Other,Implicit_Other,0.4935761416853975,0.49422434609672883,0.021555635199499348
Explicit_Other,Exp5_Morality,0.5021229553134126,0.5030604215181758,0.028192814975864768
Explicit_Other,Exp5_Scene,0.5023915387237825,0.5079133998142414,0.0268899809244843
Implicit_Other,Implicit_Other,0.5026929029704416,0.502752520716155,0.03434333576117929
Exp5_Emotion,Implicit_Other,0.503419779579521,0.5009885535153317,0.036330900120180684
Explicit_Self,Implicit_Other,0.5046178219267391,0.5042556498189599,0.03847736660167851
Explicit_Other,Exp5_Emotion,0.5046648682595486,0.5061458333333333,0.025735355671969124
Exp5_Scene,Implicit_Other,0.5046742168782147,0.5012069013394118,0.03384638029066563
No_Ref,Implicit_Other,0.5047204759483926,0.5012111567070667,0.03344682976863176
Implicit_Self,Implicit_Other,0.5051846826685206,0.5018932840676502,0.03429947430077919
Explicit_Other,Exp5_Person,0.5064265757757499,0.5034978592351791,0.026628755887847674
Exp5_Person,Implicit_Other,0.5069538342638749,0.50524779170799206,0.04438605894884912
Exp5_Morality,Explicit_Other,0.5084732687610716,0.5001896302479405,0.054454697849278325
Exp5_Morality,Implicit_Other,0.5099242293074681,0.5095751434054634,0.03768442600974823
Implicit_Self,Explicit_Other,0.5104908789479937,0.5090921913172552,0.05149684990524009
No_Ref,Explicit_Other,0.5106521228754604,0.5079109393109561,0.049928664512161124
Implicit_Other,Explicit_Other,0.5110011579478652,0.5132102910899365,0.04678671690624782
Exp5_Scene,Explicit_Other,0.5114392172405489,0.5103654828375932,0.04977409010846874
Implicit_Self,Implicit_Self,0.5126500125154712,0.5105977624621698,0.03358659422748747
Implicit_Other,Implicit_Self,0.5127522540835422,0.5102462423321736,0.032702793259953664
Explicit_Self,Implicit_Self,0.5128686730992118,0.5118468449034028,0.03758505746922743
Exp5_Emotion,Implicit_Self,0.5130258450513977,0.5087434676711029,0.03538223242877957
No_Ref,Implicit_Self,0.5133093695606707,0.510870121858607,0.03217821782387263
Exp5_Scene,Implicit_Self,0.513534338597108,0.5115913598003369,0.032558136650820246
Exp5_Person,Implicit_Self,0.514838535332016,0.512593923321225,0.04277656338639844
Exp5_Emotion,Explicit_Other,0.5151755242167315,0.5120471244986624,0.046421023349101136
Exp5_Person,Explicit_Other,0.5163282142899606,0.518886164153016,0.05521769374624208
No_Ref,Exp5_Emotion,0.5170898059067447,0.5218355483154405,0.05210172695322856
Explicit_Self,Explicit_Other,0.5179817943815568,0.5204290119115987,0.050126869952340745
Exp5_Scene,Exp5_Emotion,0.5183480604346637,0.5216858486212355,0.05255065435821061
Explicit_Other,Explicit_Other,0.5203025052334502,0.5217746739431685,0.04234169690948102
Implicit_Self,Exp5_Emotion,0.5206758047525463,0.5251766795921399,0.0532244772265062
Exp5_Emotion,No_Ref,0.5228479570541532,0.5264231003498598,0.04568880127957747
Exp5_Morality,Implicit_Self,0.5231914316770508,0.5173088863448552,0.03970620671522201
Implicit_Self,Exp5_Morality,0.5237591354841474,0.5189344159323,0.037648188640992834
Implicit_Other,No_Ref,0.5238515209264599,0.5223230161799923,0.03935326964538813
Explicit_Self,No_Ref,0.5238720125494446,0.519849883088506,0.04606220735401496
Exp5_Emotion,Exp5_Morality,0.5239004404392223,0.5256569030350478,0.04169548644277889
No_Ref,Exp5_Morality,0.5264657062884238,0.5243045987816993,0.038936344312542275
Exp5_Person,No_Ref,0.526611881825688,0.5232076498238101,0.052192687390265044
Implicit_Other,Exp5_Morality,0.5271196564629299,0.5283951267732039,0.03246842833394135
Exp5_Morality,Exp5_Emotion,0.5272200500809499,0.52324237126278,0.06349246288493922
Implicit_Other,Exp5_Emotion,0.527245529560491,0.532952720837289,0.040273695148845226
No_Ref,No_Ref,0.5281629336335113,0.5270002875749022,0.04559682858729379
Exp5_Scene,Exp5_Morality,0.5293715070119595,0.5269560954056545,0.03996103459119357
Implicit_Self,No_Ref,0.5293908039640302,0.5313744268688686,0.04660439030198875
Exp5_Scene,No_Ref,0.5296271747568897,0.5305149044476533,0.045700418725488495
Implicit_Other,Exp5_Scene,0.5297342118336617,0.5348571900274869,0.040261302874888036
Exp5_Emotion,Exp5_Scene,0.5302499882688648,0.5290074755886722,0.038207268807392704
Exp5_Emotion,Exp5_Emotion,0.530950327088727,0.5277161047385486,0.04370282445976509
Explicit_Self,Exp5_Emotion,0.5312760796825531,0.536449897253183,0.04623997535695879
Explicit_Self,Exp5_Morality,0.5345190069790611,0.5322364239813572,0.04523010801968792
Explicit_Self,Exp5_Scene,0.5347653327365905,0.537572351429813,0.045587290231676486
Exp5_Person,Exp5_Morality,0.5349897732658414,0.5367191841368728,0.04904800811141901
Implicit_Other,Explicit_Self,0.5358943714518998,0.5357608008541016,0.03769141331034265
Exp5_Person,Exp5_Emotion,0.5361567944874386,0.5361689814814815,0.0499856227917028
Exp5_Person,Exp5_Scene,0.536606624802065,0.5412445459337707,0.05040755617596586
Exp5_Emotion,Explicit_Self,0.5366772583995618,0.5375156217626931,0.040169744038429045
Explicit_Self,Explicit_Self,0.5368396281455926,0.5370370370370371,0.0460122384773672
Exp5_Morality,No_Ref,0.5391010596705237,0.5490162037037037,0.05804832046404159
Exp5_Morality,Exp5_Morality,0.5394457635014396,0.5398512556113804,0.04789781565138809
Implicit_Self,Explicit_Self,0.5402768441221669,0.54503201450082706,0.04677164285297721
Exp5_Person,Explicit_Self,0.5405898093056706,0.5464595426088537,0.04760736512980551
Exp5_Morality,Exp5_Person,0.541007037877707,0.5434851787236362,0.04306098397521953
No_Ref,Explicit_Self,0.541058046169862,0.5445001530023775,0.04461123114047444
Implicit_Self,Exp5_Scene,0.541177921105777,0.5443359214673305,0.037528358851003245
Exp5_Scene,Explicit_Self,0.5415306875956554,0.5456947484876304,0.044462843233352665
Implicit_Other,Exp5_Person,0.5424392597910466,0.5441682107180181,0.033101435300834675
Explicit_Self,Exp5_Person,0.5439968412348265,0.5421354745759068,0.03842470917995979
Exp5_Scene,Exp5_Scene,0.5454398340886892,0.5503455477008281,0.04461662083363955
No_Ref,Exp5_Scene,0.5477191328826061,0.5503086656194783,0.04182675616427421
Exp5_Morality,Exp5_Scene,0.548504399571628,0.5536582990497144,0.043531349795926426
Exp5_Emotion,Exp5_Person,0.5502626689679897,0.5458352411477411,0.04047689816255636
Exp5_Person,Exp5_Person,0.5520005496726675,0.5456433727883256,0.045823786057527606
Exp5_Morality,Explicit_Self,0.5561449807334439,0.5582066662417944,0.051406634993977435
Implicit_Self,Exp5_Person,0.5564929380198239,0.5499174535814615,0.041071870627356843
Exp5_Scene,Exp5_Person,0.5583871853960146,0.5532834076062296,0.04269683366036138
No_Ref,Exp5_Person,0.5587066014577827,0.5511195579926885,0.042913377476578786
